Algorithm,Population Size,Items Size,Calculation Time,NumberOfThreads
Metal,10000,100,4.184316125,2
Metal,10000,100,2.831248792,3
Metal,10000,100,2.394148083,4
Metal,10000,100,2.109386792,5
Metal,10000,100,2.011662167,6
Metal,10000,100,1.873042916,7
Metal,10000,100,1.787507625,8
Metal,10000,100,1.81138325,9
Metal,10000,100,2.050598333,10
Metal,10000,110,4.227996584,2
Metal,10000,110,3.20997875,3
Metal,10000,110,2.969289833,4
Metal,10000,110,2.7935725,5
Metal,10000,110,2.205591458,6
Metal,10000,110,1.906697041,7
Metal,10000,110,1.917210083,8
Metal,10000,110,2.086685792,9
Metal,10000,110,2.016813333,10
Metal,10000,120,5.003952208,2
Metal,10000,120,3.700599417,3
Metal,10000,120,3.433958667,4
Metal,10000,120,3.0491475,5
Metal,10000,120,2.299825291,6
Metal,10000,120,1.860062959,7
Metal,10000,120,2.037929917,8
Metal,10000,120,3.515526792,9
Metal,10000,120,4.950849167,10
Metal,10000,130,5.34413625,2
Metal,10000,130,4.007643375,3
Metal,10000,130,4.273175084,4
Metal,10000,130,3.451023458,5
Metal,10000,130,2.874187375,6
Metal,10000,130,3.832169833,7
Metal,10000,130,3.236304833,8
Metal,10000,130,3.84635,9
Metal,10000,130,3.585207459,10
Metal,10000,140,5.604969792,2
Metal,10000,140,4.171754125,3
Metal,10000,140,4.166473875,4
Metal,10000,140,3.633698083,5
Metal,10000,140,4.220177,6
Metal,10000,140,4.312935083,7
Metal,10000,140,4.491051125,8
Metal,10000,140,3.693372042,9
Metal,10000,140,3.942496791,10
Metal,10000,150,6.054333,2
Metal,10000,150,4.136241916,3
Metal,10000,150,3.901338458,4
Metal,10000,150,3.849591083,5
Metal,10000,150,3.772036333,6
Metal,10000,150,4.235671208,7
Metal,10000,150,4.392073791,8
Metal,10000,150,4.326303708,9
Metal,10000,150,4.383268792,10
Metal,10000,160,6.223226125,2
Metal,10000,160,5.728413709,3
Metal,10000,160,4.117870625,4
Metal,10000,160,4.093245292,5
Metal,10000,160,3.66107425,6
Metal,10000,160,4.313627208,7
Metal,10000,160,4.196299833,8
Metal,10000,160,4.446346583,9
Metal,10000,160,4.2134585,10
Metal,10000,170,7.640002042,2
Metal,10000,170,5.827607417,3
Metal,10000,170,4.101472333,4
Metal,10000,170,4.771548792,5
Metal,10000,170,4.252229167,6
Metal,10000,170,4.03800475,7
Metal,10000,170,3.986518583,8
Metal,10000,170,4.172573917,9
Metal,10000,170,4.398035292,10
Metal,10000,180,8.2179345,2
Metal,10000,180,6.610535709,3
Metal,10000,180,4.303374125,4
Metal,10000,180,4.495361542,5
Metal,10000,180,4.651734042,6
Metal,10000,180,4.400411542,7
Metal,10000,180,4.411274417,8
Metal,10000,180,4.348375875,9
Metal,10000,180,5.0627725,10
Metal,10000,190,8.454597167,2
Metal,10000,190,6.243281083,3
Metal,10000,190,4.268058167,4
Metal,10000,190,4.508714875,5
Metal,10000,190,4.213749167,6
Metal,10000,190,4.101658541,7
Metal,10000,190,4.203082916,8
Metal,10000,190,4.179665334,9
Metal,10000,190,4.331581708,10
